Date,Open,High,Low,Close,Adj Close,Volume
3/31/2011,18720,18720,18420,18640,14652.53027,26376550
4/1/2011,18720,18800,18540,18800,14778.30273,22471700
4/4/2011,18800,18900,18780,18900,14856.91113,16716750
4/5/2011,18960,18960,18700,18900,14856.91113,11922000
4/6/2011,18800,18840,18300,18460,14511.04004,27471850
4/7/2011,18500,18700,18100,18180,14290.93164,21781250
4/8/2011,18220,18280,17900,17960,14117.99121,25983450
4/11/2011,17960,18140,17760,17880,14055.10449,20582800
4/12/2011,17720,17800,17640,17640,13866.44727,15766950
4/13/2011,17740,18020,17600,18020,14165.15723,16627750
4/14/2011,18000,18000,17680,18000,14149.4375,25265700
4/15/2011,17960,17980,17640,17760,13960.78223,22274750
4/18/2011,17820,17840,17320,17340,13630.62207,27418700
4/19/2011,17060,17500,17060,17500,13756.39844,23078650
4/20/2011,17780,18320,17720,18320,14400.98535,32044250
4/21/2011,18600,18740,18360,18560,14589.64258,27071850
4/22/2011,18480,18540,18040,18080,14212.32422,18825450
4/25/2011,18020,18220,17780,17780,13976.49902,14338950
4/26/2011,17980,17980,17600,17940,14102.27637,19174650
4/27/2011,18340,18540,18220,18480,14526.75879,26379400
4/28/2011,18480,18540,17980,18000,14149.4375,20803400
4/29/2011,18020,18160,17600,17860,14039.3877,21415000
5/2/2011,18200,18740,18080,18640,14652.53027,32544850
5/3/2011,18720,18800,18440,18760,14746.85449,25366500
5/4/2011,18600,18680,18000,18300,14385.25977,25769850
5/6/2011,17980,18280,17900,17980,14133.71973,23637450
5/9/2011,18160,18220,17820,17820,14007.94336,13543350
5/11/2011,17780,17900,17640,17840,14023.66504,22363750
5/12/2011,17720,18020,17660,17700,13913.61719,27616100
5/13/2011,17920,18480,17800,18320,14400.98535,33438000
5/16/2011,18340,18380,17960,18020,14165.15723,16123700
5/17/2011,17940,17960,17780,17800,13992.22266,11549950
5/18/2011,17860,17980,17720,17860,14039.3877,16579300
5/19/2011,17820,17960,17600,17600,13835.00684,19345200
5/20/2011,17700,17740,17600,17640,13866.44727,11069950
5/23/2011,17540,17700,17440,17460,13724.95117,14056000
5/24/2011,17440,17680,17300,17300,13599.18457,14488500
5/25/2011,17580,17580,17060,17120,13457.6875,16018050
5/26/2011,17360,17600,17300,17580,13819.28711,13968500
5/27/2011,17480,17980,17340,17820,14007.94336,21477600
5/30/2011,17900,17900,17520,17680,13897.89063,10293600
5/31/2011,17800,18280,17720,18040,14180.88086,23887550
6/1/2011,18040,18240,17900,18220,14322.37988,15678500
6/2/2011,17880,17940,17600,17660,13882.16992,16582950
6/3/2011,17800,17800,17540,17700,13913.61719,10067100
