Date,Open,High,Low,Close,Adj Close,Volume
11/27/2020,54.860001,55.549999,52.599998,54,54,105795100
11/30/2020,54.209999,54.389999,48.18,50.529999,50.529999,179765400
12/1/2020,52.02,52.099998,44.049999,45.360001,45.360001,246472300
12/2/2020,40.16,48,38.43,47.98,47.98,313028300
12/3/2020,47.900002,48.650002,45.209999,45.349998,45.349998,173424000
12/4/2020,44.66,45.16,41.650002,43.040001,43.040001,191969900
12/7/2020,42.5,46.32,42.41,45.110001,45.110001,165048500
12/8/2020,47.209999,48.299999,45.669998,46.560001,46.560001,115799600
12/9/2020,47.080002,47.200001,42.959999,44.009998,44.009998,121387900
12/10/2020,42.439999,45.669998,41.889999,45.220001,45.220001,107376800
12/11/2020,42.48,43.630001,41.259998,41.98,41.98,147076100
12/14/2020,39.939999,41.48,39.509998,40.98,40.98,171598200
12/15/2020,42.470001,43.84,41.27,43.5,43.5,132336900
12/16/2020,44.25,45.259998,43.330002,44.669998,44.669998,120109600
12/17/2020,45.169998,46.049999,43.900002,46,46,130003700
12/18/2020,45.889999,48,45.52,46.720001,46.720001,126251100
12/21/2020,45.630001,49.490002,45.02,48.950001,48.950001,132558100
12/22/2020,49.610001,49.84,46.529999,47.580002,47.580002,117118300
12/23/2020,47.48,48.360001,45.810001,47.009998,47.009998,81247900
12/24/2020,46.880001,47.130001,45.349998,45.77,45.77,60582500
12/28/2020,46.669998,46.849998,43.669998,44.060001,44.060001,105078000
12/29/2020,43.700001,46.279999,42.23,46.139999,46.139999,120689900
12/30/2020,46.5,48.380001,45.720001,48.380001,48.380001,116691700
12/31/2020,48.459999,50.5,47.77,48.740002,48.740002,129344300
1/4/2021,51.200001,54.450001,50.669998,53.490002,53.490002,213109700
1/5/2021,51.970001,53.75,50.400002,53.200001,53.200001,147474800
1/6/2021,54.02,55.279999,49.080002,50.5,50.5,176397700
1/7/2021,53.049999,54.610001,52.349998,54.279999,54.279999,119429200
1/8/2021,57.759998,59.310001,55.880001,58.919998,58.919998,218512800
